;Marka;Ocena;Płeć kupującego
78;Tefal;1.0;M
79;Beko;4.0;M
80;Beko;2.5;M
81;Beko;4.0;K
82;Beko;1.5;M
83;Beko;1.5;K
84;Beko;2.0;M
85;Electrolux;3.0;bd.
86;Beko;1.0;M
87;Tefal;1.5;K
88;Beko;1.0;M
89;Beko;0.5;K
90;Beko;3.0;K
91;Beko;1.0;M
92;Beko;3.0;M
93;Beko;2.0;M
94;Dyson;4.0;M
95;Beko;4.5;K
96;Beko;0.0;M
97;Beko;3.0;K
98;Tefal;1.5;M
99;Beko;1.5;bd.
100;Tefal;2.5;M
101;Beko;2.0;M
102;Samsung;3.5;bd.
103;Beko;1.0;K
104;Dyson;5.0;M
105;Dyson;2.0;K
106;Beko;3.0;bd.
107;Beko;2.0;bd.
108;Beko;2.5;K
109;Beko;3.5;M
110;Samsung;2.0;M
111;Beko;1.0;M
112;Beko;3.0;M
113;Beko;3.0;M
114;Beko;2.0;M
115;Beko;2.0;K
116;Tefal;0.5;M
117;Beko;2.0;bd.
118;Beko;1.0;M
119;Beko;3.5;bd.
120;Beko;2.5;K
121;Dyson;1.0;M
122;Electrolux;2.5;M
123;Beko;2.5;M
124;Beko;2.5;M
125;Beko;1.5;M
126;Tefal;1.5;M
127;Beko;2.5;K
128;Dyson;2.0;M
129;Beko;1.0;bd.
130;Electrolux;2.0;M
131;Tefal;1.5;M
132;Beko;2.5;K
133;Beko;4.0;M
134;Beko;2.0;M
135;Beko;1.5;bd.
136;Beko;2.0;M
137;Dyson;5.0;bd.
138;Dyson;2.0;K
139;Tefal;2.5;K
140;Dyson;0.0;K
141;Tefal;1.5;K
142;Beko;2.0;M
143;Beko;4.0;M
144;Beko;3.0;bd.
145;Beko;2.5;M
146;Beko;3.0;M
147;Beko;3.5;M
148;Beko;1.0;M
149;Electrolux;1.0;M
150;Beko;2.5;bd.
151;Beko;0.5;K
152;Beko;2.5;M
153;Beko;2.0;M
154;Beko;1.5;M
155;Beko;2.0;M
156;Beko;1.5;M
157;Beko;3.5;K
158;Beko;3.5;M
159;Beko;2.0;bd.
160;Electrolux;2.5;bd.
161;Electrolux;1.5;K
162;Beko;1.5;M
163;Beko;3.5;bd.
164;Tefal;1.0;M
165;Beko;2.5;M
166;Beko;4.5;K
167;Beko;1.0;bd.
168;Beko;1.5;bd.
169;Beko;2.5;K
170;Beko;2.5;K
171;Beko;2.5;M
172;Electrolux;4.0;M
173;Electrolux;1.5;M
174;Samsung;1.5;M
175;Tefal;2.0;M
176;Tefal;4.0;K
177;Beko;3.0;K
178;Beko;3.0;M
179;Dyson;2.5;bd.
180;Beko;3.5;K
181;Dyson;3.0;M
182;Beko;2.0;K
183;Beko;2.5;M
184;Beko;3.0;bd.
185;Electrolux;3.5;K
186;Beko;5.0;K
187;Beko;3.0;bd.
188;Beko;2.5;M
189;Beko;1.5;K
190;Beko;0.5;K
191;Beko;1.5;M
192;Electrolux;3.0;M
193;Electrolux;2.5;M
194;Beko;1.5;M
195;Beko;2.0;M
196;Beko;2.0;M
197;Beko;2.5;M
198;Electrolux;2.5;M
199;Electrolux;2.0;M
200;Electrolux;1.0;M
201;Beko;3.5;M
202;Beko;2.0;K
203;Beko;2.0;M
204;Beko;1.5;bd.
205;Beko;1.5;M
206;Dyson;1.5;M
207;Beko;2.0;bd.
208;Electrolux;3.0;M
209;Beko;5.0;bd.
210;Beko;4.0;bd.
211;Dyson;2.0;K
212;Electrolux;3.5;M
213;Samsung;1.5;K
214;Beko;0.5;bd.
215;Beko;5.0;M
216;Beko;1.5;M
217;Beko;2.5;K
218;Beko;2.0;M
219;Beko;2.0;M
220;Beko;3.5;M
221;Tefal;2.5;K
222;Beko;1.5;M
223;Tefal;3.0;M
224;Beko;1.5;bd.
225;Samsung;1.5;bd.
226;Beko;3.5;bd.
227;Beko;2.0;bd.
228;Dyson;4.0;M
229;Electrolux;2.5;M
230;Beko;2.0;K
231;Electrolux;2.5;M
232;Dyson;3.0;K
233;Dyson;2.5;K
234;Samsung;3.5;M
235;Beko;2.5;bd.
236;Beko;0.5;bd.
237;Beko;2.0;M
238;Tefal;1.5;M
239;Electrolux;1.5;M
240;Beko;2.0;M
241;Dyson;3.5;M
242;Beko;2.0;M
243;Beko;2.5;bd.
244;Beko;4.5;K
245;Beko;1.5;M
246;Dyson;1.0;bd.
247;Beko;2.0;M
248;Beko;1.0;K
249;Beko;2.0;M
250;Beko;2.0;M
251;Beko;3.0;M
252;Beko;2.0;K
253;Electrolux;1.0;M
254;Beko;1.5;bd.
255;Tefal;2.5;K
256;Beko;2.0;bd.
257;Beko;3.0;bd.
258;Dyson;2.0;M
259;Tefal;2.0;bd.
260;Beko;2.5;bd.
261;Beko;4.5;M
262;Beko;1.5;M
263;Beko;3.5;M
264;Tefal;1.5;K
265;Beko;3.0;K
266;Beko;1.5;M
267;Beko;4.5;bd.
268;Tefal;2.5;bd.
269;Beko;3.5;M
270;Beko;4.0;M
271;Beko;2.0;M
272;Dyson;2.5;M
273;Beko;2.0;M
274;Beko;5.0;M
275;Beko;0.5;K
276;Dyson;1.5;K
277;Electrolux;2.5;M
278;Beko;1.5;M
279;Beko;3.5;M
280;Beko;0.5;K
281;Beko;1.0;K
282;Beko;2.0;K
283;Beko;2.0;M
284;Beko;3.0;M
285;Tefal;4.0;K
286;Beko;3.5;K
287;Tefal;2.5;bd.
288;Beko;4.0;M
289;Dyson;0.5;bd.
290;Beko;2.0;bd.
291;Tefal;0.5;M
292;Samsung;4.0;M
293;Beko;1.0;M
294;Beko;2.0;K
295;Beko;3.0;M
296;Beko;2.0;bd.
297;Beko;4.0;K
298;Beko;1.5;K
299;Beko;2.5;K
300;Beko;3.0;M
301;Dyson;4.5;M
302;Beko;3.0;M
303;Dyson;1.0;M
304;Dyson;5.0;K
305;Beko;3.5;M
306;Beko;3.5;K
307;Beko;3.0;M
308;Tefal;1.5;M
309;Beko;2.0;K
310;Beko;4.0;bd.
311;Samsung;1.5;K
312;Beko;1.5;M
313;Electrolux;1.5;M
314;Beko;4.5;M
315;Beko;2.0;K
316;Beko;2.0;K
317;Beko;2.0;K
318;Electrolux;2.5;bd.
319;Beko;1.5;K
320;Beko;4.5;M
321;Electrolux;2.0;bd.
322;Beko;2.5;K
323;Electrolux;1.5;M
324;Beko;1.0;bd.
325;Tefal;2.5;K
326;Beko;1.5;M
327;Beko;1.0;M
328;Beko;1.5;M
329;Beko;2.0;bd.
330;Beko;1.5;bd.
331;Beko;2.5;K
332;Beko;1.0;K
333;Beko;2.0;M
334;Dyson;3.5;bd.
335;Beko;4.0;K
336;Electrolux;3.5;M
337;Beko;4.0;M
338;Beko;3.0;M
339;Dyson;2.0;M
340;Beko;5.0;bd.
341;Beko;3.0;K
342;Beko;4.5;M
343;Beko;3.0;bd.
344;Beko;4.0;K
345;Beko;3.5;M
346;Beko;1.5;K
347;Electrolux;2.5;K
348;Beko;2.0;bd.
349;Beko;2.0;M
350;Beko;1.5;bd.
351;Beko;4.0;M
352;Beko;3.0;M
353;Beko;5.0;K
354;Beko;3.5;K
355;Electrolux;3.0;M
356;Beko;2.5;K
357;Beko;3.5;bd.
358;Beko;2.5;M
359;Beko;2.5;bd.
360;Beko;0.5;K
361;Beko;2.5;M
362;Beko;2.5;M
363;Beko;3.0;M
364;Beko;3.0;M
365;Beko;3.5;M
366;Beko;2.0;K
367;Beko;4.0;K
368;Beko;1.5;bd.
369;Beko;1.0;M
370;Beko;4.0;M
371;Beko;2.0;K
372;Tefal;2.5;M
373;Samsung;3.5;K
374;Beko;2.0;M
375;Beko;2.0;M
376;Electrolux;1.5;K
377;Beko;2.0;K
378;Beko;1.0;M
379;Dyson;1.5;K
380;Beko;1.5;M
381;Beko;5.0;K
382;Electrolux;2.5;bd.
383;Beko;3.5;K
384;Electrolux;1.5;M
385;Beko;2.0;M
386;Tefal;3.5;M
387;Beko;1.0;bd.
388;Beko;2.5;bd.
389;Beko;1.0;K
390;Beko;1.5;M
391;Beko;4.0;M
392;Beko;1.5;bd.
393;Beko;3.0;K
394;Beko;2.5;K
395;Beko;3.5;M
396;Beko;3.5;M
397;Beko;1.0;M
398;Dyson;2.0;bd.
399;Beko;3.0;K
400;Beko;1.5;M
401;Beko;1.5;M
402;Dyson;2.0;K
403;Beko;2.5;M
404;Tefal;2.5;K
405;Beko;2.0;K
406;Electrolux;3.5;M
407;Samsung;3.0;M
408;Tefal;2.0;K
409;Tefal;1.0;K
410;Beko;2.5;bd.
411;Beko;2.5;M
412;Beko;1.0;K
413;Beko;4.0;bd.
414;Tefal;2.5;K
415;Beko;4.0;K
416;Beko;2.5;M
417;Beko;1.0;K
418;Beko;3.5;M
419;Tefal;1.0;K
420;Beko;3.0;bd.
421;Beko;3.0;M
422;Beko;2.0;M
423;Beko;3.5;M
424;Electrolux;2.5;bd.
425;Beko;2.5;bd.
426;Beko;1.0;M
427;Beko;3.0;bd.
428;Beko;3.5;K
429;Electrolux;3.5;bd.
430;Dyson;4.0;M
431;Beko;3.5;bd.
432;Tefal;5.0;bd.
433;Beko;2.0;M
434;Beko;2.0;M
435;Beko;3.5;bd.
436;Beko;3.5;bd.
437;Beko;4.5;M
438;Electrolux;1.0;K
439;Dyson;3.0;M
440;Beko;2.5;M
441;Electrolux;2.0;bd.
442;Samsung;1.0;M
443;Beko;2.5;M
444;Beko;0.5;M
445;Tefal;2.0;bd.
446;Dyson;2.0;K
447;Beko;3.5;M
448;Beko;0.5;bd.
449;Beko;1.0;M
450;Beko;3.0;M
451;Beko;2.0;M
452;Beko;0.5;M
453;Beko;5.0;bd.
454;Beko;1.5;bd.
455;Beko;1.0;M
456;Beko;1.0;M
457;Beko;2.5;M
458;Beko;4.0;K
459;Tefal;2.0;M
460;Beko;2.5;bd.
461;Beko;2.5;M
462;Electrolux;3.0;K
463;Beko;2.0;K
464;Tefal;3.0;M
465;Beko;1.0;M
